Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DGND       TP_SMD_1_5mm          2480mil       2329mil       2480mil       2329mil       2480mil       2329mil  B        180.00 Comment        
C52        C0603                 1345mil       2660mil       1345mil       2660mil   1314.685mil       2660mil  T        360.00 0.1uF          
C53        C1210             1357.047mil       2560mil       1360mil       2560mil    1413.15mil       2560mil  T        180.00 22uF/16V       
C54        C0603                 1512mil       2900mil       1512mil       2900mil       1512mil   2930.315mil  T        270.00 18pF           
C55        C0603                 1349mil       2759mil       1349mil       2759mil   1318.685mil       2759mil  T        360.00 18pF           
C56        C0603                  299mil       2533mil        299mil       2533mil        299mil   2563.315mil  T        270.00 0.01uF         
C57        C0603                 1030mil       2495mil       1030mil       2495mil       1030mil   2525.315mil  T        270.00 0.01uF         
C58        C0603                  885mil       2495mil        885mil       2495mil        885mil   2525.315mil  T        270.00 4.7uF          
C77        C0603                 2741mil       1785mil       2741mil       1785mil       2741mil   1754.685mil  T         90.00 0.1uF          
D1         LED-0805          2721.401mil        726mil       2684mil        726mil       2684mil        726mil  T        180.00 GLED           
D2         LED-0805          1789.401mil        870mil       1752mil        870mil       1752mil        870mil  T        180.00 GLED           
D3         LED-0805          2897.401mil       3155mil       2860mil       3155mil       2860mil       3155mil  T        180.00 GLED           
D4         SOD123                2880mil       1625mil       2880mil       1625mil       2880mil   1562.992mil  T         90.00 1N5819         
D5         HD01               456.787mil    1792.89mil        506mil       1911mil        506mil       1911mil  T        270.00 HD01           
D6         HD01               673.787mil    1791.89mil        723mil       1910mil        723mil       1910mil  T        270.00 HD01           
D7         SMA               1386.764mil    2085.74mil       1442mil       1992mil   1386.764mil   2168.417mil  T         90.00 MURA120        
D8         SOT-23             1299.74mil   1604.402mil       1346mil       1567mil       1346mil       1567mil  T         90.00 BAS16          
D9         SMC               2504.961mil   2180.669mil       2630mil       2040mil   2504.961mil   2321.162mil  T         90.00 B360           
D10        SMB                   1365mil       1227mil       1365mil       1227mil   1453.583mil       1227mil  T        180.00 SMAJ58A        
D11        SOT-23             2077.26mil   1625.598mil       2031mil       1663mil       2031mil       1663mil  T        270.00 BAT54S         
D12        SOD123                2575mil       1440mil       2575mil       1440mil   2512.992mil       1440mil  T        360.00 1N5819         
D13        SOD123                2575mil       1355mil       2575mil       1355mil   2512.992mil       1355mil  T        360.00 1N5819         
D14        SOD123                1465mil        485mil       1465mil        485mil   1527.008mil        485mil  T        180.00 1N5819         
FB1        0805               653.402mil   2068.001mil        616mil   2068.001mil        616mil   2068.001mil  T        360.00 220            
FB2        0805               652.402mil       2158mil        615mil       2158mil        615mil       2158mil  T        360.00 220            
J1         MKDS_5_6.35       2911.811mil    230.315mil   2911.811mil    230.315mil   2786.811mil    230.315mil  T        360.00 36-57VDC RTN   
J2         MKDS_5_6.35       1911.811mil    230.315mil   1911.811mil    230.315mil   1786.811mil    230.315mil  T          0.00 36-57VDC RTN   
J4         MKDS_5_6.35       2411.811mil    230.315mil   2411.811mil    230.315mil   2286.811mil    230.315mil  T          0.00 36-57VDC RTN   
J5         MKDS_5_6.35       1411.811mil    230.315mil   1411.811mil    230.315mil   1286.811mil    230.315mil  T          0.00 36-57VDC RTN   
JP2        HDR1X3                1714mil       3256mil       1814mil       3256mil       1814mil       3256mil  T        180.00 UART           
L1         L-7.5S            3078.425mil       1620mil       2980mil       1620mil       2980mil       1620mil  T        360.00 30uH           
L2         L0603                 3340mil   2136.102mil       3340mil   2136.102mil   3309.685mil   2136.102mil  T        360.00 #NAME?         
L3         L0603             2067.995mil   2528.997mil   2067.995mil   2528.997mil   2089.431mil   2507.561mil  T        135.00 #NAME?         
L4         L0603                 3340mil   2211.102mil       3340mil   2211.102mil   3309.685mil   2211.102mil  T        360.00 #NAME?         
L5         L4*4MM             953.055mil       1878mil    890.063mil       1878mil    888.095mil       1878mil  T        360.00 10uH           
